STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
BLUE RIVER 2,2023-05-01,ACTUAL,20.9,4.3,34,62,5,0,,,,,,,,
BLUE RIVER 2,2023-05-02,ACTUAL,21.7,5.9,36,63,6,0,,,,,,,,
BLUE RIVER 2,2023-05-03,ACTUAL,24.7,6.3,31,29,5,0,,,,,,,,
BLUE RIVER 2,2023-05-04,ACTUAL,24.3,9.4,39,71,5,0.4,,,,,,,,
BLUE RIVER 2,2023-05-05,ACTUAL,25.9,5.4,27,40,9,0,,,,,,,,
BLUE RIVER 2,2023-05-06,ACTUAL,10.9,9.8,93,158,3,0.6,,,,,,,,
BLUE RIVER 2,2023-05-07,ACTUAL,11.5,8.7,83,76,4,33.6,,85,6,15,2.6,6,2,
BLUE RIVER 2,2023-05-08,ACTUAL,16.7,5.6,48,311,8,2.4,,74.2,7,20,1.1,7,1,1
BLUE RIVER 2,2023-05-09,ACTUAL,14.6,8.4,66,238,5,0,,79.5,8,25,1.4,9,1,1
BLUE RIVER 2,2023-05-10,ACTUAL,17.8,6.6,48,225,7,0,,85,11,31,3,11,3,2
BLUE RIVER 2,2023-05-11,ACTUAL,20,6.6,42,257,14,0,,88.1,14,37,6.4,14,8,2
BLUE RIVER 2,2023-05-12,ACTUAL,24.5,0.7,21,101,9,0,,93,19,44,10.1,19,14,2
BLUE RIVER 2,2023-05-13,ACTUAL,26.4,1.6,20,38,9,0,,94.3,25,51,12.2,25,18,3
BLUE RIVER 2,2023-05-14,ACTUAL,28.1,3.7,21,7,8,0,,94.4,31,58,12.1,31,20,3
BLUE RIVER 2,2023-05-15,ACTUAL,29.1,3.1,19,87,5,0,,95,37,66,11.2,37,21,3
BLUE RIVER 2,2023-05-16,ACTUAL,28,4.3,22,47,6,0,,95.1,43,74,11.9,43,23,4
BLUE RIVER 2,2023-05-17,ACTUAL,27.4,5,24,156,6,0,,95.1,49,81,11.7,49,25,4
BLUE RIVER 2,2023-05-18,ACTUAL,24.1,9.6,40,50,6,0.8,,89.3,53,88,5.2,53,14,3
BLUE RIVER 2,2023-05-19,ACTUAL,26.4,9.2,34,37,6,0,,91.1,58,95,6.7,58,18,4
BLUE RIVER 2,2023-05-20,ACTUAL,29,4.4,21,52,13,0,,94.3,64,102,15,64,33,4
BLUE RIVER 2,2023-05-21,ACTUAL,20.2,8.8,48,216,9,0,,90.6,67,108,7.2,67,20,4
BLUE RIVER 2,2023-05-22,ACTUAL,12.6,10.5,87,287,6,18,,29.2,30,79,0,31,0,2
BLUE RIVER 2,2023-05-23,ACTUAL,10.1,7.7,85,96,4,16,,17,13,56,0,16,0,1
BLUE RIVER 2,2023-05-24,ACTUAL,14.1,8.6,69,42,6,1.6,,39.9,13,61,0,17,0,1
BLUE RIVER 2,2023-05-25,ACTUAL,23.4,3.3,27,39,7,0,,79.9,18,67,1.6,21,2,2
BLUE RIVER 2,2023-05-26,ACTUAL,25.8,4.8,26,216,9,0,,91.1,23,74,7.8,26,13,3
BLUE RIVER 2,2023-05-27,ACTUAL,23.9,5.2,30,183,9,0,,91.7,28,81,8.4,30,15,3
BLUE RIVER 2,2023-05-28,ACTUAL,22.4,9.5,44,40,7,0,,90.7,31,87,6.6,33,13,3
BLUE RIVER 2,2023-05-29,ACTUAL,21.6,7.4,40,69,6,0,,90.8,35,94,6.4,36,13,3
BLUE RIVER 2,2023-05-30,ACTUAL,22.9,2.3,26,206,20,0.2,,92.3,39,100,16.1,40,28,3
BLUE RIVER 2,2023-05-31,ACTUAL,21.6,5,34,66,5,0,,92.2,43,107,7.7,43,17,3
BLUE RIVER 2,2023-06-01,ACTUAL,24.1,2.2,24,43,7,0.8,,91.6,48,114,7.5,48,18,4
BLUE RIVER 2,2023-06-02,ACTUAL,24.1,3.3,26,32,6,0,,92.5,53,122,8.1,53,20,4
