STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
BLUE RIVER 2,2020-05-01,DELETED,16.9,-4.4,23,85,4,0.4,100,60,6,15,,,,
BLUE RIVER 2,2020-05-02,ACTUAL,18.6,-3,23,90,13,0,100,85.3,10,21,4.3,10,5,2
BLUE RIVER 2,2020-05-03,ACTUAL,11.3,0.3,47,179,11,6,100,59.1,7,18,0.7,7,0,1
BLUE RIVER 2,2020-05-04,ACTUAL,14,-3.4,30,76,8,0,100,79.9,10,22,1.7,10,1,2
BLUE RIVER 2,2020-05-05,ACTUAL,17.7,-2.7,25,105,11,0,100,89.2,14,28,6.7,13,8,2
BLUE RIVER 2,2020-05-06,ACTUAL,14.6,2.4,44,25,7,0,100,89.1,16,33,5.3,16,7,2
BLUE RIVER 2,2020-05-07,ACTUAL,12.2,3.2,54,190,7,8.4,100,52.4,10,26,0.3,10,0,1
BLUE RIVER 2,2020-05-08,ACTUAL,19.3,-1.9,24,38,11,0,100,82.8,14,32,2.8,14,4,2
BLUE RIVER 2,2020-05-09,ACTUAL,19.9,-5.9,17,72,15,0,100,92.2,18,38,12.4,18,16,2
BLUE RIVER 2,2020-05-10,ACTUAL,16.9,-2.3,27,77,16,0,100,92.3,22,43,13.4,22,18,3
BLUE RIVER 2,2020-05-11,ACTUAL,16.7,-6.4,20,105,13,0,100,92.8,26,48,12,26,18,3
BLUE RIVER 2,2020-05-12,ACTUAL,16.9,-10,15,79,10,0,100,93.9,30,54,12,30,20,3
BLUE RIVER 2,2020-05-13,ACTUAL,19.4,-8,15,91,8,0,100,94.5,34,60,12.1,34,21,3
BLUE RIVER 2,2020-05-14,ACTUAL,17.8,2,35,28,6,0,100,92.5,38,65,8.1,37,16,3
BLUE RIVER 2,2020-05-15,ACTUAL,15.8,6.8,55,254,7,0,100,88.9,40,71,5.3,39,12,3
BLUE RIVER 2,2020-05-16,ACTUAL,14.8,9.2,69,103,4,3,100,62.8,32,73,0.6,32,1,2
BLUE RIVER 2,2020-05-17,ACTUAL,12,8.5,79,5,4,3.2,100,47.2,25,74,0.1,27,0,2
BLUE RIVER 2,2020-05-18,ACTUAL,11,8.4,84,269,6,3.6,100,37.2,19,74,0,23,0,2
BLUE RIVER 2,2020-05-19,ACTUAL,20.6,3.2,32,66,7,2,100,69.7,20,81,0.9,25,1,2
BLUE RIVER 2,2020-05-20,ACTUAL,23.4,2.2,25,264,8,0,100,88.6,25,87,5.3,29,10,3
BLUE RIVER 2,2020-05-21,ACTUAL,9.8,8.7,93,245,4,4,100,42.7,18,86,0.1,23,0,2
