Year,Année,ISO,Jurisdiction,Juridiction,Protection zone,Zone de protection,Dollars (En),Data qualifier,Dollars (Fr),Qualificatifs de données
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,934000,a,934000,a
1991,1991,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,20635,a,20635,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1991,1991,NP,National parks,Parcs nationaux,Intensive,Intensive,0,a,0,a
1991,1991,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,110000,a,110000,a
1991,1991,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,17000,a,17000,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1991,1991,ON,Ontario,Ontario,Intensive,Intensive,448995,a,448995,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,13100,a,13100,a
1991,1991,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1991,1991,QC,Quebec,Québec,Intensive,Intensive,1914926,a,1914926,a
1991,1991,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1991,1991,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1991,1991,YT,Yukon,Yukon,Intensive,Intensive,0,a,0,a
1991,1991,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1992,1992,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1992,1992,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,2001511,a,2001511,a
1992,1992,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1992,1992,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,706000,a,706000,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,12680,a,12680,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1992,1992,NP,National parks,Parcs nationaux,Intensive,Intensive,0,a,0,a
1992,1992,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,52400,a,52400,a
1992,1992,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,45000,a,45000,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1992,1992,ON,Ontario,Ontario,Intensive,Intensive,30651,a,30651,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1992,1992,QC,Quebec,Québec,Intensive,Intensive,800810,a,800810,a
1992,1992,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1992,1992,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1992,1992,YT,Yukon,Yukon,Intensive,Intensive,30300,a,30300,a
1992,1992,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1993,1993,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1993,1993,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,3650159,a,3650159,a
1993,1993,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1993,1993,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,2339000,a,2339000,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,8230,a,8230,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1993,1993,NP,National parks,Parcs nationaux,Intensive,Intensive,0,a,0,a
1993,1993,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1993,1993,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,100300,a,100300,a
1993,1993,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,11000,a,11000,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1993,1993,ON,Ontario,Ontario,Intensive,Intensive,138620,a,138620,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1993,1993,QC,Quebec,Québec,Intensive,Intensive,6170,a,6170,a
1993,1993,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1993,1993,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1993,1993,YT,Yukon,Yukon,Intensive,Intensive,0,a,0,a
1993,1993,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1994,1994,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1994,1994,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,11844924,a,11844924,a
1994,1994,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1994,1994,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,518000,a,518000,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,60235,a,60235,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1994,1994,NP,National parks,Parcs nationaux,Intensive,Intensive,0,a,0,a
1994,1994,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1994,1994,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,2750,a,2750,a
1994,1994,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,0,a,0,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1994,1994,ON,Ontario,Ontario,Intensive,Intensive,767625,a,767625,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1994,1994,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1994,1994,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1994,1994,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1994,1994,YT,Yukon,Yukon,Intensive,Intensive,0,a,0,a
1994,1994,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1995,1995,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1995,1995,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,7337770,a,7337770,a
1995,1995,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1995,1995,MB,Manitoba,Manitoba,Intensive,Intensive,2400000,a,2400000,a
1995,1995,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,2090000,a,2090000,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,20000,a,20000,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1995,1995,NP,National parks,Parcs nationaux,Intensive,Intensive,0,a,0,a
1995,1995,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,50300,a,50300,a
1995,1995,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,0,a,0,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1995,1995,ON,Ontario,Ontario,Intensive,Intensive,2491972,a,2491972,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1995,1995,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1995,1995,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1995,1995,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1995,1995,YT,Yukon,Yukon,Intensive,Intensive,0,a,0,a
1995,1995,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1996,1996,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1996,1996,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,2798557,a,2798557,a
1996,1996,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1996,1996,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,332000,a,332000,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,5450,a,5450,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1996,1996,NP,National parks,Parcs nationaux,Intensive,Intensive,,n,,n
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,1000,a,1000,a
1996,1996,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,64000,a,64000,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1996,1996,ON,Ontario,Ontario,Intensive,Intensive,1484770,p,1484770,p
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1996,1996,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1996,1996,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1996,1996,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1996,1996,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1996,1996,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
1997,1997,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1997,1997,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,17200,a,17200,a
1997,1997,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1997,1997,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,184900,a,184900,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,250600,a,250600,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1997,1997,NP,National parks,Parcs nationaux,Intensive,Intensive,0,a,0,a
1997,1997,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,24700,a,24700,a
1997,1997,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,28000,a,28000,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1997,1997,ON,Ontario,Ontario,Intensive,Intensive,12115901,p,12115901,p
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,9000,r,9000,r
1997,1997,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1997,1997,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
1997,1997,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1997,1997,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1997,1997,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
1998,1998,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1998,1998,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1998,1998,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,5028,r,5028,r
1998,1998,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,630050,a,630050,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,150400,a,150400,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1998,1998,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,4000,e,4000,e
1998,1998,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,45000,a,45000,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1998,1998,ON,Ontario,Ontario,Intensive,Intensive,2315135,a,2315135,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,7500,a,7500,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1998,1998,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1998,1998,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,350000,a,350000,a
1998,1998,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1998,1998,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1998,1998,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
1999,1999,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
1999,1999,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,1021,a,1021,a
1999,1999,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
1999,1999,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,1852600,a,1852600,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,415700,a,415700,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
1999,1999,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,22950,a,22950,a
1999,1999,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,9000,a,9000,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
1999,1999,ON,Ontario,Ontario,Intensive,Intensive,9790360,a,9790360,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,7500,a,7500,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
1999,1999,QC,Quebec,Québec,Intensive,Intensive,,u,,u
1999,1999,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,2250000,a,2250000,a
1999,1999,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
1999,1999,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
1999,1999,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2000,2000,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2000,2000,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2000,2000,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,1088,p,1088,p
2000,2000,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,263000,a,263000,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,42000,a,42000,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
2000,2000,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
2000,2000,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,13800,a,13800,a
2000,2000,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,9000,a,9000,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
2000,2000,ON,Ontario,Ontario,Intensive,Intensive,1000705,a,1000705,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
2000,2000,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,u,,u
2000,2000,QC,Quebec,Québec,Intensive,Intensive,,u,,u
2000,2000,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
2000,2000,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
2000,2000,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2001,2001,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2001,2001,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2001,2001,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,646,p,646,p
2001,2001,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,2271500,a,2271500,a
2001,2001,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
2001,2001,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,400150,a,400150,a
2001,2001,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
2001,2001,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,250550,a,250550,a
2001,2001,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,0,a,0,a
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
2001,2001,ON,Ontario,Ontario,Intensive,Intensive,1389377,a,1389377,a
2001,2001,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
2001,2001,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,u,,u
2001,2001,QC,Quebec,Québec,Intensive,Intensive,,u,,u
2001,2001,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,0,a,0,a
2001,2001,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
2001,2001,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
2001,2001,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2002,2002,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2002,2002,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,2474250,a,2474250,a
2002,2002,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2002,2002,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,445000,a,445000,a
2002,2002,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
2002,2002,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,105533,a,105533,a
2002,2002,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,,u,,u
2002,2002,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
2002,2002,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,287000,a,287000,a
2002,2002,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,4000,a,4000,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
2002,2002,ON,Ontario,Ontario,Intensive,Intensive,1357150,a,1357150,a
2002,2002,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,18300,a,18300,a
2002,2002,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
2002,2002,QC,Quebec,Québec,Intensive,Intensive,,u,,u
2002,2002,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,n,,n
2002,2002,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,u,,u
2002,2002,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
2002,2002,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2003,2003,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2003,2003,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,99232,a,99232,a
2003,2003,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2003,2003,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
2003,2003,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,389650,a,389650,a
2003,2003,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
2003,2003,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,150000,a,150000,a
2003,2003,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
2003,2003,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,203000,a,203000,a
2003,2003,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
2003,2003,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,19000,a,19000,a
2003,2003,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
2003,2003,ON,Ontario,Ontario,Intensive,Intensive,5240850,a,5240850,a
2003,2003,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,1000,a,1000,a
2003,2003,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
2003,2003,QC,Quebec,Québec,Intensive,Intensive,,u,,u
2003,2003,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,u,,u
2003,2003,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
2003,2003,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2004,2004,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2004,2004,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,1093141,a,1093141,a
2004,2004,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2004,2004,MB,Manitoba,Manitoba,Intensive,Intensive,,n,,n
2004,2004,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,296500,a,296500,a
2004,2004,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
2004,2004,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,0,a,0,a
2004,2004,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
2004,2004,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,120000,a,120000,a
2004,2004,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,0,a,0,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
2004,2004,ON,Ontario,Ontario,Intensive,Intensive,1318775,a,1318775,a
2004,2004,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,300,a,300,a
2004,2004,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
2004,2004,QC,Quebec,Québec,Intensive,Intensive,,u,,u
2004,2004,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,u,,u
2004,2004,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
2004,2004,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2005,2005,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2005,2005,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,102647,a,102647,a
2005,2005,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2005,2005,MB,Manitoba,Manitoba,Intensive,Intensive,,u,,u
2005,2005,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,1505100,a,1505100,a
2005,2005,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
2005,2005,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,0,a,0,a
2005,2005,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Intensive,Intensive,14000,e,14000,e
2005,2005,NP,National parks,Parcs nationaux,Intensive,Intensive,,u,,u
2005,2005,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,70000,e,70000,e
2005,2005,NS,Nova Scotia,Nouvelle-Écosse,Intensive,Intensive,,n,,n
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,10000,a,10000,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Intensive,Intensive,,n,,n
2005,2005,ON,Ontario,Ontario,Intensive,Intensive,461334,a,461334,a
2005,2005,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,0,a,0,a
2005,2005,PE,Prince Edward Island,Île-du-Prince-Édouard,Intensive,Intensive,,n,,n
2005,2005,QC,Quebec,Québec,Intensive,Intensive,,u,,u
2005,2005,SK,Saskatchewan,Saskatchewan,Intensive,Intensive,,u,,u
2005,2005,YT,Yukon,Yukon,Intensive,Intensive,,n,,n
2005,2005,YT,Yukon,Yukon,Intensive,Intensive,,u,,u
2006,2006,AB,Alberta,Alberta,Intensive,Intensive,,n,,n
2006,2006,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,1071704,a,1071704,a
2006,2006,BC,British Columbia,Colombie-Britannique,Intensive,Intensive,,n,,n
2006,2006,MB,Manitoba,Manitoba,Intensive,Intensive,0,a,0,a
2006,2006,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,501700,a,501700,a
2006,2006,NB,New Brunswick,Nouveau-Brunswick,Intensive,Intensive,,n,,n
