STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
ELK MOUNTAIN,2023-05-01,ACTUAL,18.6,-0.9,27,310,12,0,,,,,,,,
ELK MOUNTAIN,2023-05-02,ACTUAL,21.6,-0.5,23,231,6,0,,,,,,,,
ELK MOUNTAIN,2023-05-03,ACTUAL,20.2,-1.7,23,301,19,0,,,,,,,,
ELK MOUNTAIN,2023-05-04,ACTUAL,18.8,-5.4,19,121,12,0,,,,,,,,
ELK MOUNTAIN,2023-05-05,ACTUAL,18.4,1.3,32,135,11,0,,85,6,235,3.7,11,4,
ELK MOUNTAIN,2023-05-06,ACTUAL,13.8,4.7,54,139,5,0,,85.5,8,240,2.9,14,4,2
ELK MOUNTAIN,2023-05-07,ACTUAL,16.7,5,46,151,6,0,,86.9,10,245,3.7,19,6,2
ELK MOUNTAIN,2023-05-08,ACTUAL,16.5,2.4,39,256,11,0,,88.3,13,251,5.7,23,10,3
ELK MOUNTAIN,2023-05-09,ACTUAL,19.9,-1.3,24,310,7,0,,91.6,17,257,7.8,30,14,3
ELK MOUNTAIN,2023-05-10,ACTUAL,24.3,-3.2,16,172,7,0,,94.5,23,263,11.6,38,21,3
ELK MOUNTAIN,2023-05-11,ACTUAL,22.9,0,22,292,6,0,,94.6,28,270,11,44,22,4
ELK MOUNTAIN,2023-05-12,ACTUAL,21.3,2.4,29,117,6,0,,93.6,32,276,9.5,50,21,4
ELK MOUNTAIN,2023-05-13,ACTUAL,20.1,5.2,38,318,14,0,,91.7,36,282,10.9,54,25,4
ELK MOUNTAIN,2023-05-14,ACTUAL,22.1,6.2,36,269,4,0,,91.8,39,289,6.9,59,18,4
ELK MOUNTAIN,2023-05-15,ACTUAL,21.1,7.6,42,302,10,2.4,,80.1,37,295,1.9,56,6,3
ELK MOUNTAIN,2023-05-16,ACTUAL,23.6,4.9,30,195,7,0.4,,89.6,41,301,5.8,62,17,3
ELK MOUNTAIN,2023-05-17,ACTUAL,27.4,7.2,28,210,5,0,,92.3,47,309,7.7,68,22,4
ELK MOUNTAIN,2023-05-18,ACTUAL,25.4,6,29,138,5,0,,92.4,52,316,7.9,74,23,4
ELK MOUNTAIN,2023-05-19,ACTUAL,21.1,2.3,29,147,15,0,,92.4,56,322,12.6,78,33,5
ELK MOUNTAIN,2023-05-20,ACTUAL,23.1,5.4,32,304,8,1.6,,86.5,58,329,3.9,81,14,4
ELK MOUNTAIN,2023-05-21,ACTUAL,25.2,1.3,21,310,10,0,,93,64,335,11.1,86,31,5
ELK MOUNTAIN,2023-05-22,ACTUAL,9.7,7,83,130,3,7.8,,37.4,36,317,0,56,0,2
ELK MOUNTAIN,2023-05-23,ACTUAL,16,10.2,68,298,8,3.2,,49.4,29,316,0.2,47,0,2
ELK MOUNTAIN,2023-05-24,ACTUAL,19.3,4.5,38,326,4,0,,76.1,32,322,1,51,3,3
ELK MOUNTAIN,2023-05-25,ACTUAL,23.7,5.9,32,151,8,0,,88.5,37,328,5.1,57,15,3
ELK MOUNTAIN,2023-05-26,ACTUAL,18.8,9.6,55,322,8,0,,88.1,39,334,4.9,60,14,3
ELK MOUNTAIN,2023-05-27,ACTUAL,19.4,-0.7,26,273,9,0,,91.1,43,340,8.1,65,22,4
ELK MOUNTAIN,2023-05-28,ACTUAL,17.2,4.1,42,304,12,0,,90.2,46,346,8.1,69,23,4
ELK MOUNTAIN,2023-05-29,ACTUAL,14.9,-1.4,33,267,9,3.4,,73.1,37,344,1.1,59,4,3
ELK MOUNTAIN,2023-05-30,ACTUAL,15,-2.6,30,224,3,0,,84.2,40,349,2.1,63,7,3
ELK MOUNTAIN,2023-05-31,ACTUAL,16.1,-3,27,335,8,0,,89.3,44,354,5.8,67,18,4
ELK MOUNTAIN,2023-06-01,ACTUAL,15.4,-2.7,29,314,5,2.6,,76.2,39,360,1.1,62,4,3
ELK MOUNTAIN,2023-06-02,ACTUAL,23,0.7,23,162,5,0,,89.7,44,368,5.3,68,16,3
ELK MOUNTAIN,2023-06-03,ACTUAL,20.4,9.7,50,184,6,0,,89.2,47,375,5.2,72,17,4
ELK MOUNTAIN,2023-06-04,ACTUAL,9,9,100,115,3,15.6,,15.7,21,325,0,36,0,2
ELK MOUNTAIN,2023-06-05,ACTUAL,14.6,4,49,270,3,6,,38.9,14,315,0,26,0,2
ELK MOUNTAIN,2023-06-06,ACTUAL,13.2,3.3,51,335,13,0.2,,67.3,16,321,1.1,29,2,2
ELK MOUNTAIN,2023-06-07,ACTUAL,19.4,5.4,40,321,10,0,,83.7,19,328,2.9,34,7,2
ELK MOUNTAIN,2023-06-08,ACTUAL,24.9,10.3,40,184,8,0,,88.9,23,335,5.3,40,12,3
ELK MOUNTAIN,2023-06-09,ACTUAL,27.1,12.3,40,189,2,0,,90.1,28,344,4.9,46,12,3
ELK MOUNTAIN,2023-06-10,ACTUAL,24.9,6,30,317,14,0,,91.7,33,352,11.2,53,25,4
ELK MOUNTAIN,2023-06-11,ACTUAL,22.6,-1.5,20,311,15,0,,93.5,38,359,14.8,60,32,4
ELK MOUNTAIN,2023-06-12,ACTUAL,15.1,12.8,86,144,6,1.8,,69.8,36,365,0.8,57,3,3
ELK MOUNTAIN,2023-06-13,ACTUAL,21,2.2,29,323,13,0,,87.4,40,372,5.5,63,16,3
ELK MOUNTAIN,2023-06-14,ACTUAL,22.2,2.7,28,311,12,0,,91.2,44,380,9.3,68,25,4
ELK MOUNTAIN,2023-06-15,ACTUAL,22.5,2,26,158,5,0.4,,92.2,49,387,7.3,74,22,4
ELK MOUNTAIN,2023-06-16,ACTUAL,16.5,6.9,53,341,7,3.6,,68.2,38,385,0.8,61,3,3
ELK MOUNTAIN,2023-06-17,ACTUAL,10.9,4.6,65,338,11,1.8,,66.3,37,390,1,60,3,3
ELK MOUNTAIN,2023-06-18,ACTUAL,10.3,9.2,93,23,7,3.8,,37.4,27,386,0,45,0,2
ELK MOUNTAIN,2023-06-19,ACTUAL,21.3,5.9,37,211,7,5.8,,61.3,20,375,0.6,35,1,2
ELK MOUNTAIN,2023-06-20,ACTUAL,23.6,7.1,35,297,4,0,,83.4,24,383,2.1,41,6,2
ELK MOUNTAIN,2023-06-21,ACTUAL,28.1,7.8,28,338,11,0,,91.9,29,391,9.5,50,21,4
ELK MOUNTAIN,2023-06-22,ACTUAL,27,12.2,40,320,5,0.2,,91.9,34,399,7.4,56,19,4
ELK MOUNTAIN,2023-06-23,ACTUAL,29.9,9.9,29,51,5,0,,92.9,40,408,8.4,64,22,4
ELK MOUNTAIN,2023-06-24,ACTUAL,15.7,10.1,69,129,8,0.6,,86.3,41,415,3.8,66,12,3
ELK MOUNTAIN,2023-06-25,ACTUAL,22.9,11.3,48,304,11,0,,87.9,44,422,5.5,70,17,4
ELK MOUNTAIN,2023-06-26,ACTUAL,25.4,9.6,37,323,10,0,,90.2,49,430,7.3,76,22,4
ELK MOUNTAIN,2023-06-27,ACTUAL,27.3,9.1,32,341,9,0.4,,91.7,54,438,8.6,82,26,4
ELK MOUNTAIN,2023-06-28,ACTUAL,30.1,10.5,30,194,3,0,,92.7,60,447,7.4,89,24,4
ELK MOUNTAIN,2023-06-29,ACTUAL,15.7,14.7,94,304,3,14.6,,24,27,393,0,47,0,2
ELK MOUNTAIN,2023-06-30,ACTUAL,22.8,3.2,28,321,15,0.6,,76.6,32,400,1.8,53,6,3
ELK MOUNTAIN,2023-07-01,ACTUAL,20.7,1.4,28,327,13,0,,88.9,36,408,7.1,58,19,4
ELK MOUNTAIN,2023-07-02,ACTUAL,11.4,10.6,95,353,6,5.4,,35.8,22,396,0,39,0,2
ELK MOUNTAIN,2023-07-03,ACTUAL,22.3,11.4,50,328,5,9,,53.1,14,373,0.3,26,0,2
ELK MOUNTAIN,2023-07-04,ACTUAL,27.9,8.6,30,350,8,0,,86.2,19,381,3.8,34,8,3
ELK MOUNTAIN,2023-07-05,ACTUAL,27.8,5.9,25,337,11,0,,92.7,24,390,11.2,42,22,3
