STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
AFTON,2023-05-01,ACTUAL,14.7,8,64,253,28,2.6,80,73.8,56,560,3,90,12,2
AFTON,2023-05-02,ACTUAL,21.3,7.8,42,269,13,0,80,85.9,60,566,4.6,94,18,3
AFTON,2023-05-03,ACTUAL,16.5,12.3,76,29,5,0.2,80,84.3,61,571,2.5,96,11,3
AFTON,2023-05-04,ACTUAL,23.2,9.5,42,359,9,0,80,88.4,64,578,5.3,101,20,3
AFTON,2023-05-05,ACTUAL,20.2,9.2,49,327,10,0,80,88.4,67,584,5.6,104,22,3
AFTON,2023-05-06,ACTUAL,9.5,8.6,94,345,9,6.4,80,33.7,40,555,0,68,0,2
AFTON,2023-05-07,ACTUAL,10.8,7,77,264,17,2.4,80,45.9,35,560,0.2,61,0,2
AFTON,2023-05-08,ACTUAL,14.2,9.1,71,329,14,4.2,80,49.5,25,547,0.3,45,0,1
AFTON,2023-05-09,ACTUAL,14.5,6.1,57,18,12,2.6,80,60.6,22,552,0.8,41,1,1
AFTON,2023-05-10,ACTUAL,17.2,5.4,46,6,9,0,80,79.1,25,558,1.6,45,4,1
AFTON,2023-05-11,ACTUAL,19.3,3.3,35,9,9,0,80,87.5,28,564,4.6,50,13,2
AFTON,2023-05-12,ACTUAL,21.4,4.4,33,5,15,0,80,90.2,32,570,9.5,57,23,3
AFTON,2023-05-13,ACTUAL,23.9,5.2,30,32,18,0,80,91.6,37,577,13.4,64,31,3
AFTON,2023-05-14,ACTUAL,26.1,3.9,24,2,7,0,80,93.2,42,584,9.7,72,26,3
AFTON,2023-05-15,ACTUAL,26.3,4.6,25,19,8,0,80,93.3,48,591,10.3,80,29,3
AFTON,2023-05-16,ACTUAL,26.9,9.2,33,26,9,0,80,93.2,53,598,10.5,86,30,3
AFTON,2023-05-17,ACTUAL,25.4,7,31,343,7,0,80,93.3,58,605,9.7,93,30,4
AFTON,2023-05-18,ACTUAL,23.6,10.3,43,8,14,0,80,91.3,61,612,10.3,98,32,4
AFTON,2023-05-19,ACTUAL,27.2,7.5,29,14,9,0,55,92.4,67,619,9.7,105,32,4
AFTON,2023-05-20,ACTUAL,26,9.3,35,10,11,0,55,92.5,71,626,10.5,111,34,4
AFTON,2023-05-21,ACTUAL,22.2,11.9,52,90,18,0,55,89.5,74,633,9.7,115,33,4
AFTON,2023-05-22,ACTUAL,15.8,4.8,48,323,15,0.8,55,85.7,76,638,5,118,21,3
AFTON,2023-05-23,ACTUAL,10.6,9.2,91,354,6,3.8,55,45.3,55,624,0.1,90,0,2
AFTON,2023-05-24,ACTUAL,13,8.1,72,109,4,2.8,55,46.4,45,629,0.1,77,0,2
AFTON,2023-05-25,ACTUAL,19.2,8.2,49,354,8,0,55,73.7,48,635,1.1,81,5,2
AFTON,2023-05-26,ACTUAL,23.4,4.3,29,9,14,0,55,89.1,53,641,7.5,87,24,3
AFTON,2023-05-27,ACTUAL,25.8,7.8,32,226,12,0,55,91.4,57,648,9.8,94,30,4
AFTON,2023-05-28,ACTUAL,24.8,5.5,29,253,12,0,55,92.1,62,655,10.5,101,33,4
AFTON,2023-05-29,ACTUAL,23.8,6,32,341,10,0,55,92.1,67,662,9.8,107,32,4
AFTON,2023-05-30,ACTUAL,22.3,0.1,23,350,17,0,55,92.9,71,668,15.4,113,44,4
AFTON,2023-05-31,ACTUAL,20.1,0.9,28,312,16,0,55,93,75,674,15,118,44,4
AFTON,2023-06-01,ACTUAL,21.9,-0.2,23,7,13,0,55,93,80,682,12.8,124,40,4
AFTON,2023-06-02,ACTUAL,23.6,5.4,31,15,13,0,55,93,85,689,12.9,129,41,4
AFTON,2023-06-03,ACTUAL,24.6,0.1,20,28,14,0,55,94,90,697,15.4,136,47,5
AFTON,2023-06-04,ACTUAL,22.6,2,26,353,16,0,55,93.9,95,705,16.8,142,50,5
AFTON,2023-06-05,ACTUAL,18,-3,24,287,15,0,70,93.6,98,711,15.3,146,48,5
AFTON,2023-06-06,ACTUAL,23.2,-3.2,17,18,6,0,70,94.5,104,719,10.7,153,39,4
AFTON,2023-06-07,ACTUAL,27.3,-2.6,14,33,13,0,70,95.9,110,727,18.9,160,56,5
AFTON,2023-06-08,ACTUAL,29.1,0.7,16,354,9,0,70,95.9,117,736,15.2,167,49,5
AFTON,2023-06-09,MANUAL,28.3,8,28,357,8,0,50,94.8,122,744,12.6,174,44,4
AFTON,2023-06-10,ACTUAL,21.9,15.1,65,328,13,0,50,88,125,752,6,176,27,4
AFTON,2023-06-11,ACTUAL,23.8,11.1,45,275,17,9,50,72.5,66,687,1.6,106,8,3
AFTON,2023-06-12,ACTUAL,28.7,5.5,23,44,8,0,50,91.4,72,695,7.8,114,28,4
AFTON,2023-06-13,ACTUAL,22.8,6.9,36,215,18,0,50,91.5,76,703,13.4,120,41,4
AFTON,2023-06-14,ACTUAL,14,3.7,50,298,21,0,50,88.8,78,709,10.4,122,35,4
AFTON,2023-06-15,ACTUAL,22.5,5.8,34,33,11,0,50,90.4,82,716,8.1,128,30,4
AFTON,2023-06-16,ACTUAL,18.4,9.5,56,5,12,0,50,88.3,84,723,6,130,25,3
AFTON,2023-06-17,MANUAL,19.7,3.3,34,119,8,0,50,89.9,88,730,6.3,135,26,3
AFTON,2023-06-18,ACTUAL,13.8,-0.4,38,318,23,0,50,89.9,90,736,13.5,138,43,4
AFTON,2023-06-19,ACTUAL,9.3,8,92,301,14,1,50,77.6,91,741,1.8,139,10,3
AFTON,2023-06-20,ACTUAL,12.5,9.7,83,295,16,5,50,48.3,58,712,0.3,97,1,2
AFTON,2023-06-21,ACTUAL,14.1,10.2,77,275,9,4.2,50,44.1,42,693,0.1,72,0,2
