AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
257314,FALSE,Stanislaus National Forest/Yosemite National Park,,2013,TRUE,Tuolumne,55,,,,2013-09-06T18:30:00Z,,FALSE,TRUE,,,,37.857,-120.086,FALSE,Rim Fire,100,,TRUE,2013-08-17T15:25:00Z,Finalized,,,,,
30274,FALSE,USFS Angeles National Forest/Los Angeles County/CAL FIRE,,2013,TRUE,Los Angeles,19,,,,2013-06-08T18:30:00Z,,FALSE,TRUE,,,,34.585595,-118.423176,FALSE,Powerhouse Fire,100,,TRUE,2013-05-30T15:28:00Z,Finalized,,,,,
27531,FALSE,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,TRUE,Riverside,33,,,,2013-07-30T18:00:00Z,,FALSE,TRUE,,,,33.7095,-116.72885,FALSE,Mountain Fire,100,,TRUE,2013-07-15T13:43:00Z,Finalized,,,,,
27440,FALSE,Tahoe National Forest,,2013,FALSE,Placer,31,,,,2013-08-30T08:00:00Z,,FALSE,TRUE,,,,39.12,-120.65,FALSE,American Fire,100,,TRUE,2013-08-10T16:30:00Z,Finalized,,,,,
24251,FALSE,Ventura County Fire/CAL FIRE,,2013,TRUE,Ventura,56,47,8,117,2013-05-11T06:30:00Z,,FALSE,TRUE,,11,10,0,0,TRUE,Springs Fire,100,2167,TRUE,2013-05-02T07:01:00Z,Finalized,6,10,,,11
22992,FALSE,Sierra National Forest,,2013,FALSE,Fresno,10,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,37.279,-119.318,FALSE,Aspen Fire,100,,TRUE,2013-07-22T22:15:00Z,Finalized,,,,,
20292,FALSE,CAL FIRE Riverside Unit / San Bernardino National Forest,,2013,TRUE,Riverside,33,63,20,201,2013-08-12T18:00:00Z,,FALSE,TRUE,,20,26,33.86157,-116.90427,TRUE,Silver Fire,100,2106,TRUE,2013-08-07T14:05:00Z,Finalized,8,40,,,20
14754,FALSE,Klamath National Forest,,2013,FALSE,Siskiyou,47,,,,2013-08-31T06:45:00Z,,FALSE,TRUE,,,,41.32,-123.176,FALSE,Salmon River Complex,100,,TRUE,2013-07-31T22:00:00Z,Finalized,,,,,
12503,FALSE,Six Rivers National Forest,,2013,FALSE,Humboldt,12,,,,2013-08-12T12:00:00Z,,FALSE,TRUE,,,,41.035,-123.488,FALSE,Corral Complex,100,,TRUE,2013-08-10T11:40:00Z,Finalized,,,,,
11429,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,Tehama,52,30,3,36,2013-08-29T16:45:00Z,,FALSE,TRUE,,5,5,40.04263,-121.85397,TRUE,Deer Fire,100,898,TRUE,2013-08-23T14:15:00Z,Finalized,,,,,8
8073,FALSE,CAL FIRE Shasta-Trinity Unit,,2013,TRUE,Shasta,45,12,3,30,2013-09-15T07:30:00Z,,FALSE,TRUE,,,6,40.498332,-122.535496,TRUE,Clover Fire,100,342,TRUE,2013-09-09T12:32:00Z,Finalized,10,201,,,
7055,FALSE,CAL FIRE San Diego Unit / Cleveland National Forest,,2013,TRUE,San Diego,37,56,24,183,2013-07-15T06:15:00Z,,FALSE,TRUE,,9,12,32.95435,-116.47381,TRUE,Chariot Fire,100,2147,TRUE,2013-07-06T12:55:00Z,Finalized,9,149,,,24
6965,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Tehama,52,53,22,131,2013-05-09T09:00:00Z,,FALSE,TRUE,,6,6,40.190062,-121.595555,TRUE,Panther Fire,100,1811,TRUE,2013-05-01T09:12:00Z,Finalized,,,,,40
4346,FALSE,CAL FIRE / USFS Los Padres National Forest,,2013,TRUE,Kern,"15,56",29,1,34,2013-05-21T19:45:00Z,,FALSE,TRUE,,1,4,34.7861,-118.9411,TRUE,Grand Fire,100,847,TRUE,2013-05-15T12:50:00Z,Finalized,,,,,12
4346,FALSE,CAL FIRE / USFS Los Padres National Forest,,2013,TRUE,Ventura,"15,56",29,1,34,2013-05-21T19:45:00Z,,FALSE,TRUE,,1,4,34.7861,-118.9411,TRUE,Grand Fire,100,847,TRUE,2013-05-15T12:50:00Z,Finalized,,,,,12
3505,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Sonoma,49,8,,5,2013-11-27T18:15:00Z,,FALSE,TRUE,,,6,38.8167,-122.8498,TRUE,McCabe Fire,100,188,TRUE,2013-11-22T02:04:00Z,Finalized,,1,,,
3166,FALSE,CAL FIRE/Riverside County Fire ,,2013,TRUE,Riverside,33,36,5,62,2013-05-04T18:30:00Z,,FALSE,TRUE,,5,2,34.288877,-116.941311,TRUE,Summit Fire,100,726,TRUE,2013-05-01T12:38:00Z,Finalized,,1,,,7
3111,FALSE,CAL FIRE Santa-Clara Unit,,2013,TRUE,Contra Costa,7,8,5,3,2013-09-14T17:30:00Z,,FALSE,TRUE,,,,37.90757,-121.882582,TRUE,Morgan Fire,100,231,TRUE,2013-09-08T13:08:00Z,Finalized,,,,,4
2781,FALSE,CAL FIRE San Diego Unit,25,2013,TRUE,San Diego,37,33,25,73,2013-05-26T17:45:00Z,,FALSE,TRUE,,25,5,33.12111,-116.52579,TRUE,San Felipe Fire,100,911,TRUE,2013-05-23T12:20:00Z,Finalized,,,,,26
2462,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Butte,4,33,28,95,2013-08-22T18:00:00Z,,FALSE,TRUE,,20,5,39.446268,-121.38236,TRUE,Swedes Fire,100,1484,TRUE,2013-08-16T16:37:00Z,Finalized,,7,,,25
2236,FALSE,Camp Pendleton Marine Corps Base,,2013,FALSE,San Diego,37,,,,2013-10-09T19:00:00Z,,FALSE,TRUE,,,,33.341,-117.3092,FALSE,DeLuz Fire,100,,TRUE,2013-10-05T12:45:00Z,Finalized,,,,,
2060,FALSE,Sequoia National Forest,,2013,FALSE,Tulare,54,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,36.208,-118.444,FALSE,Fish Fire,100,,TRUE,2013-08-24T14:31:00Z,Finalized,,,,,
1984,FALSE,USFS Los Padres National Forest,,2013,FALSE,Santa Barbara,42,,,,2013-05-30T19:30:00Z,,FALSE,TRUE,,,,34.55048,-119.82429,FALSE,White Fire,100,,TRUE,2013-05-27T14:45:00Z,Finalized,,,,,
1708,FALSE,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,,2013,TRUE,Mariposa,22,2,,,2013-06-26T11:15:00Z,,FALSE,TRUE,,,1,37.58202,-119.91071,TRUE,Carstens Fire,100,112,TRUE,2013-06-16T14:12:00Z,Finalized,,,,,4
1383,FALSE,Cleveland National Forest / CAL FIRE Riverside Unit,,2013,TRUE,Riverside,"33,",,,,2013-08-09T18:45:00Z,,FALSE,TRUE,,,,33.62236,-117.40288,FALSE,Falls Fire,100,,TRUE,2013-08-05T10:10:00Z,Finalized,,,,,
1271,FALSE,CAL FIRE San Diego Unit,27,2013,TRUE,San Diego,37,54,27,42,2013-05-31T06:15:00Z,,FALSE,TRUE,,27,6,33.04458,-116.5209,TRUE,General Fire,100,1217,TRUE,2013-05-26T12:04:00Z,Finalized,,,,,27
1070,FALSE,Stanislaus National Forest,,2013,FALSE,Tuolumne,55,,,,2013-08-14T08:30:00Z,,FALSE,TRUE,,,,38.25108,-120.02778,FALSE,Power Fire,100,,TRUE,2013-08-05T06:00:00Z,Finalized,,,,,
917,FALSE,Los Padres National Forest / CAL FIRE San Benito-Monterey Unit,,2013,FALSE,Monterey,27,,,,2013-12-20T20:00:00Z,,FALSE,TRUE,,,,0,0,FALSE,Pfeiffer Fire,100,,TRUE,2013-12-16T00:20:00Z,Finalized,,,,,
794,FALSE,Sequoia National Forest,,2013,FALSE,Kern,15,,,,2013-08-24T13:45:00Z,,FALSE,TRUE,,,,35.707,-118.588,FALSE,Shirley Fire,100,,TRUE,2013-08-18T23:12:00Z,Finalized,,,,,
712,FALSE,CAL FIRE / Kern County Fire / State Parks / US Forest Service,,2013,TRUE,Kern,15,20,20,37,2013-07-22T18:45:00Z,,FALSE,TRUE,,20,5,34.882,-118.9194,TRUE,Rancho Fire,100,502,TRUE,2013-07-19T12:00:00Z,Finalized,,,,,20
712,FALSE,CAL FIRE/Los Angeles County ,,2013,TRUE,Los Angeles,19,,,,2013-05-18T19:00:00Z,,FALSE,TRUE,,,,34.49149,-118.610044,FALSE,Lake Fire,100,,TRUE,2013-05-17T13:23:00Z,Finalized,,,,,
612,FALSE,Kern County Fire,,2013,TRUE,Kern,15,,,,2013-07-25T18:30:00Z,,FALSE,TRUE,,,,34.90327,-118.93388,FALSE,Water Fire,100,,TRUE,2013-07-23T09:15:00Z,Finalized,,,,,
572,FALSE,Eldorado National Forest,,2013,FALSE,El Dorado,9,,,,2013-07-11T18:30:00Z,,FALSE,TRUE,,,,38.774,-120.298,FALSE,Kyburz Fire,100,,TRUE,2013-07-08T12:45:00Z,Finalized,,,,,
534,FALSE,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,2013,TRUE,San Bernardino,36,29,29,29,2013-07-01T06:00:00Z,,FALSE,TRUE,,29,,34.071556,-117.048397,TRUE,Mills Fire,100,282,TRUE,2013-06-28T14:30:00Z,Finalized,1,0,,,29
513,FALSE,Plumas National Forest,,2013,FALSE,Plumas,32,,,,2013-08-25T13:15:00Z,,FALSE,TRUE,,,,40.00842,-120.764666,FALSE,Plumas Lightning Complex (Hough),100,,TRUE,2013-08-18T18:30:00Z,Finalized,,,,,
510,FALSE,CAL FIRE/Riverside County Fire,,2013,TRUE,Riverside,33,,,,2013-05-05T18:45:00Z,,FALSE,TRUE,,,,33.894055,-116.855019,FALSE,Gorgonio Fire,100,,TRUE,2013-05-04T11:43:00Z,Finalized,,,,,
502,FALSE,CAL FIRE Lassen-Modoc Unit,,2013,TRUE,Modoc,25,,,,2013-07-05T18:30:00Z,,FALSE,TRUE,,,,41.2415,-121.035,FALSE,Fox Fire (formally 3-7 Fire),100,,TRUE,2013-07-03T22:56:00Z,Finalized,,,,,
500,FALSE,Los Padres National Forest,,2013,FALSE,San Luis Obispo,40,,,,2013-06-03T18:30:00Z,,FALSE,TRUE,,,,35.15832,-120.05131,FALSE,Branch Fire,100,,TRUE,2013-06-01T17:27:00Z,Finalized,,,,,
492,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,Contra Costa,7,,,,2013-07-01T18:40:00Z,,FALSE,TRUE,,,,37.96866,-121.91453,FALSE,Kirker Fire,100,,TRUE,2013-07-01T13:19:00Z,Finalized,,,,,
482,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,,2013,TRUE,Madera,20,,,,2013-06-18T19:30:00Z,,FALSE,TRUE,,,,37.015575,-119.78106,TRUE,Rolling Fire,100,,TRUE,2013-06-16T18:17:00Z,Finalized,,1,,,
413,FALSE,San Bernardino National Forest,,2013,FALSE,San Bernardino,36,,,,2013-08-20T13:32:00Z,,FALSE,TRUE,,,,34.302,-117.598,FALSE,Gobblers Fire,100,,TRUE,2013-08-20T13:32:00Z,Finalized,,,,,
406,FALSE,CAL FIRE San Bernardino Unit,,2013,TRUE,Inyo,14,25,25,25,2013-02-28T20:00:00Z,,FALSE,TRUE,,,2,36.602575,-118.01651,TRUE,River Fire,100,476,TRUE,2013-02-24T08:16:00Z,Finalized,,0,,0,25
376,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Napa,28,,,1,2013-10-04T16:55:00Z,,FALSE,TRUE,,,,38.628,-122.289,TRUE,Putah Fire,100,4,TRUE,2013-10-03T20:33:00Z,Finalized,,,,,
354,FALSE,CAL FIRE San Benito-Monterey ,,2013,TRUE,San Benito,35,,,,2013-05-03T18:45:00Z,,FALSE,TRUE,,,,37.160346,-120.937494,FALSE,Tres Pinos Fire,100,,TRUE,2013-05-03T11:42:00Z,Finalized,,,,,
311,FALSE,CAL FIRE / Riverside County Fire,,2013,TRUE,Riverside,33,,,,2013-03-02T19:00:00Z,,FALSE,TRUE,,,,0,0,FALSE,Jurupa Fire,100,,TRUE,2013-02-28T16:43:00Z,Finalized,,,,,
305,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Butte,4,4,1,15,2013-10-05T22:00:00Z,,FALSE,TRUE,,1,,39.439,-121.497,TRUE,Summit Fire,100,259,TRUE,2013-10-04T17:37:00Z,Finalized,,4,,,3
303,FALSE,CAL FIRE Tuolumne-Calaveras Unit ,,2013,TRUE,San Joaquin,39,,,,2013-05-30T13:25:00Z,,FALSE,TRUE,,,,38.04993,-120.90325,FALSE,Shelton Fire,100,,TRUE,2013-05-30T11:20:00Z,Finalized,,,,,
298,FALSE,CAL FIRE Butte Unit,4,2013,TRUE,Butte,4,3,3,26,2013-06-03T20:00:00Z,,FALSE,TRUE,,2,,39.434183,-121.576804,TRUE,Lone Fire,100,,TRUE,2013-06-03T13:49:00Z,Finalized,,9,,,4
296,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Lake,17,,,,2013-01-23T10:15:00Z,,FALSE,TRUE,,,,0,0,FALSE,Becks Fire,100,,TRUE,2013-01-22T11:08:00Z,Finalized,,,,,
274,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,Contra Costa,7,,,,2013-07-01T18:30:00Z,,FALSE,TRUE,,,,39.90465,-121.74367,FALSE,Concord Fire,100,,TRUE,2013-07-01T15:41:00Z,Finalized,,,,,
274,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,,2013,TRUE,Madera,20,,,,2013-05-01T07:00:00Z,,FALSE,TRUE,,,,37.116295,-119.635004,FALSE,Gold Fire,100,,TRUE,2013-04-30T12:59:00Z,Finalized,,,,,
268,FALSE,Angeles National Forest/Los Angeles County Fire,,2013,FALSE,Los Angeles,19,,,,2013-09-28T08:00:00Z,,FALSE,TRUE,,,,34.149,-117.908,FALSE,Madre Fire,100,,TRUE,2013-09-23T18:00:00Z,Finalized,,,,,
263,FALSE,CAL FIRE San Diego Unit / Cleveland National Forest,2,2013,TRUE,San Diego,37,4,,15,2013-09-12T18:15:00Z,,FALSE,TRUE,,1,2,32.710918,-116.746023,TRUE,Lyon Fire,100,294,TRUE,2013-09-09T13:09:00Z,Finalized,,,,176,4
243,FALSE,Angeles National Forest,,2013,FALSE,San Bernardino,36,,,,2013-08-13T23:45:00Z,,FALSE,TRUE,,,,34.35,-117.62,FALSE,Sharp Fire,100,,TRUE,2013-08-08T12:15:00Z,Finalized,,,,,
240,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,Alameda,1,,,,2013-06-08T13:25:00Z,,FALSE,TRUE,,,,37.775057,-121.737213,FALSE,Vasco Fire,100,,TRUE,2013-06-08T10:16:00Z,Finalized,,,,,
237,FALSE,CAL FIRE/Placer County Fire,,2013,TRUE,Placer,31,,,,2013-06-13T14:15:00Z,,FALSE,TRUE,,,,38.729297,-121.380862,FALSE,PFE Fire,100,,TRUE,2013-06-13T11:28:00Z,Finalized,,,,,
226,FALSE,Mendocino National Forest,,2013,FALSE,Glenn,11,,,,2013-06-17T09:00:00Z,,FALSE,TRUE,,,,0,0,FALSE,Daves Fire,100,,TRUE,2013-06-12T15:17:00Z,Finalized,,,,,
217,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,Glenn,11,11,5,6,2013-05-05T18:00:00Z,,FALSE,TRUE,,5,,39.514139,-122.560862,TRUE,306 Fire,100,221,TRUE,2013-05-01T19:00:00Z,Finalized,,,,,5
213,FALSE,Los Padres National Forest,,2013,FALSE,Monterey,27,,,,2013-07-17T19:30:00Z,,FALSE,TRUE,,,,0,0,FALSE,Tassajara Fire,100,,TRUE,2013-07-17T13:23:00Z,Finalized,,,,,
200,FALSE,San Bernardino National Forest/CAL FIRE San Bernardino Unit,,2013,FALSE,San Bernardino,36,,,,2013-09-30T08:30:00Z,,FALSE,TRUE,,,,34.2,-117.417,FALSE,Sierra Fire,100,,TRUE,2013-09-24T15:51:00Z,Finalized,,,,,
200,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,Tehama,52,,,,2013-07-04T10:30:00Z,,FALSE,TRUE,,,,40.012398,-122.079871,FALSE,Vina Fire,100,,TRUE,2013-07-04T07:30:00Z,Finalized,,,,,
196,FALSE,CAL FIRE Shasta Unit ,,2013,TRUE,Shasta,45,24,24,31,2013-08-23T19:15:00Z,,FALSE,TRUE,,24,,40.5445,-121.3754,TRUE,Burney Lightning Series (Warner Fire),100,347,TRUE,2013-08-19T17:48:00Z,Finalized,,,,,24
195,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,Tehama,52,,,,2013-07-19T15:00:00Z,,FALSE,TRUE,,,,39.961309,-122.330879,FALSE,Paskenta Fire,100,,TRUE,2013-07-19T13:32:00Z,Finalized,,,,,
190,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Napa,28,6,,15,2013-11-23T18:30:00Z,,FALSE,TRUE,,,,38.382,-122.311,TRUE,Silverado Fire,100,150,TRUE,2013-11-21T21:39:00Z,Finalized,,1,,,3
170,FALSE,Santa Barbara County Fire,,2013,TRUE,Santa Barbara,42,,,,2013-05-29T10:30:00Z,,FALSE,TRUE,,,,34.611824,-120.074655,FALSE,Olive Fire,100,,TRUE,2013-05-28T15:24:00Z,Finalized,,,,,
163,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Yolo,57,,,,2013-11-04T15:35:00Z,,FALSE,TRUE,,,,38.67479,-122.08725,FALSE,Capay Fire,100,,TRUE,2013-11-04T11:41:00Z,Finalized,,,,,
163,FALSE,CAL FIRE / Sacramento Metropolitan Fire,,2013,TRUE,El Dorado,"9,34",,,,2013-07-19T17:15:00Z,,FALSE,TRUE,,,,38.63987,-121.08438,FALSE,50 Fire,100,,TRUE,2013-07-19T14:12:00Z,Finalized,,,,,
163,FALSE,CAL FIRE / Sacramento Metropolitan Fire,,2013,TRUE,Sacramento,"9,34",,,,2013-07-19T17:15:00Z,,FALSE,TRUE,,,,38.63987,-121.08438,FALSE,50 Fire,100,,TRUE,2013-07-19T14:12:00Z,Finalized,,,,,
159,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Sonoma,49,,,,2013-10-05T07:45:00Z,,FALSE,TRUE,,,,38.34599,-122.6503,FALSE,Crane Fire,100,,TRUE,2013-10-04T12:25:00Z,Finalized,,,,,
158,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Sonoma,49,,,,2013-07-26T17:45:00Z,,FALSE,TRUE,,,,38.17693,-122.51253,FALSE,Lakeville Fire,100,,TRUE,2013-07-26T13:45:00Z,Finalized,,,,,
150,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,Alameda,1,,,,2013-10-04T10:30:00Z,,FALSE,TRUE,,,,0,0,FALSE,Highland Fire,100,,TRUE,2013-10-04T07:35:00Z,Finalized,,,,,
150,FALSE,CAL FIRE / Riverside County Fire,,2013,TRUE,Riverside,33,,,,2013-07-17T07:45:00Z,,FALSE,TRUE,,,,33.990128,-117.164997,FALSE,Redlands Fire,100,,TRUE,2013-07-16T17:48:00Z,Finalized,,,,,
150,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,Stanislaus,50,,,,2013-07-13T21:45:00Z,,FALSE,TRUE,,,,37.436,-121.1955,FALSE,Diablo Fire,100,,TRUE,2013-07-12T15:35:00Z,Finalized,,,,,
150,FALSE,CAL FIRE/Fresno County Fire,,2013,TRUE,Fresno,10,,,,2013-06-25T17:15:00Z,,FALSE,TRUE,,,,36.7218,-119.2248,FALSE,George Fire,100,,TRUE,2013-06-25T13:36:00Z,Finalized,,,,,
150,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Butte,4,,2,17,2013-05-22T09:30:00Z,,FALSE,TRUE,,,,0,0,TRUE,Neal Fire,100,60,TRUE,2013-05-22T00:56:00Z,Finalized,,,,,4
149,FALSE,Los Angeles County Fire Department,,2013,TRUE,Los Angeles,19,,,,2013-05-29T15:30:00Z,,FALSE,TRUE,,,,34.419284,-118.58688,FALSE,Magic Fire,100,,TRUE,2013-05-28T11:30:00Z,Finalized,,,,,
134,FALSE,Sequoia National Forest,,2013,FALSE,Tulare,54,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,36.258,-118.459,FALSE,Angora Fire,100,,TRUE,2013-09-08T11:53:00Z,Finalized,,,,,
125,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Sonoma,49,9,5,17,2013-05-03T06:15:00Z,,FALSE,TRUE,,5,,38.638828,-122.655616,TRUE,Yellow Fire,100,249,TRUE,2013-05-01T02:01:00Z,Finalized,,,,,5
124,FALSE,CAL FIRE Sanoma-Lake-Napa Unit,,2013,TRUE,Solano,48,,,,2013-06-18T22:30:00Z,,FALSE,TRUE,,,,38.08744,-122.13802,FALSE,California Fire,100,,TRUE,2013-06-18T15:18:00Z,Finalized,,,,,
124,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,,2013,TRUE,Merced,24,,,,2013-06-05T08:30:00Z,,FALSE,TRUE,,,,37.03776,-121.006939,FALSE,152 Fire,100,,TRUE,2013-06-04T15:42:00Z,Finalized,,,,,
124,FALSE,CAL FIRE/Riverside County Fire,,2013,TRUE,Riverside,33,,,,2013-05-25T23:00:00Z,,FALSE,TRUE,,,,33.963591,-117.187934,FALSE,Smiley Fire,100,,TRUE,2013-05-25T14:59:00Z,Finalized,,,,,
120,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,Lake,17,10,6,30,2013-11-10T18:30:00Z,,FALSE,TRUE,,,,38.882214,-122.567525,TRUE,Cantwell Fire,100,285,TRUE,2013-11-08T13:42:00Z,Finalized,,1,,,3
116,FALSE,CAL FIRE Amador-El Dorado Unit,,2013,TRUE,El Dorado,9,,,,2013-08-16T17:55:00Z,,FALSE,TRUE,,,,38.682378,-120.839075,TRUE,Union Fire,100,,TRUE,2013-08-16T13:55:00Z,Finalized,,1,,,
110,FALSE,San Bernardino National Forest,,2013,FALSE,San Bernardino,36,,,,2013-08-18T20:55:00Z,,FALSE,TRUE,,,,34.287,-117.451,FALSE,Cleghorn Fire,100,,TRUE,2013-08-17T17:25:00Z,Finalized,,,,,
108,FALSE,CAL FIRE/Fresno County Fire,,2013,TRUE,Fresno,10,,,,2013-06-13T21:30:00Z,,FALSE,TRUE,,,,36.772425,-119.628389,FALSE,Clinton Fire,100,,TRUE,2013-06-13T11:54:00Z,Finalized,,,,,
105,FALSE,CAL FIRE San Benito-Monterey Unit ,,2013,TRUE,Monterey,27,,,,2013-06-29T18:30:00Z,,FALSE,TRUE,,,,36.1531,-120.8973,FALSE,Freeman Fire,100,,TRUE,2013-06-29T14:09:00Z,Finalized,,,,,
100,FALSE,Angeles National Forest / Los Angeles County Fire Department,,2013,FALSE,Los Angeles,19,,,,2013-08-11T19:15:00Z,,FALSE,TRUE,,,,0,0,FALSE,Bee Fire,100,,TRUE,2013-08-09T17:15:00Z,Finalized,,,,,
100,FALSE,CAL FIRE Tuolumne-Calaveras Unit,,2013,TRUE,Tuolumne,55,,,,2013-06-02T16:55:00Z,,FALSE,TRUE,,,,37.91529,-120.33313,FALSE,Murphy Fire,100,,TRUE,2013-06-02T13:30:00Z,Finalized,,,,,
100,FALSE,CAL FIRE San Diego Unit,,2013,TRUE,San Diego,37,,,,2013-05-23T08:30:00Z,,FALSE,TRUE,,,,32.564465,-116.900368,FALSE,Border Fire,100,,TRUE,2013-05-22T16:14:00Z,Finalized,,,,,
98,FALSE,CAL FIRE Mendocino Unit,,2013,TRUE,Mendocino,23,,,,2013-09-29T18:15:00Z,,FALSE,TRUE,,,,38.9252,-122.966,FALSE,Highland Fire,100,,TRUE,2013-09-28T13:57:00Z,Finalized,,,,,
97,FALSE,Modoc National Forest ,,2013,FALSE,Modoc,25,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,41.73325,-120.375,FALSE,Davis Creek Complex,100,,TRUE,2013-09-05T15:57:00Z,Finalized,,,,,
97,FALSE,San Bernardino National Forest,,2013,FALSE,San Bernardino,36,,,,2013-08-30T08:00:00Z,,FALSE,TRUE,,,,33.642,-116.706,FALSE,Little Fire,100,,TRUE,2013-08-24T15:09:00Z,Finalized,,,,,
97,FALSE,CAL FIRE Lassen-Modoc Unit,,2013,TRUE,Lassen,18,,,,2013-08-12T09:30:00Z,,FALSE,TRUE,,,,40.88886,-120.958126,FALSE,Coyote Fire,100,,TRUE,2013-08-09T15:51:00Z,Finalized,,,,,
96,FALSE,CAL FIRE Amador-El Dorado Unit,,2013,TRUE,Amador,3,,,,2013-06-13T09:45:00Z,,FALSE,TRUE,,,,38.27783,-120.966016,FALSE,Roadrunner Fire,100,,TRUE,2013-06-12T16:43:00Z,Finalized,,,,,
94,FALSE,CAL FIRE San Luis Obispo Unit,,2013,TRUE,San Luis Obispo,40,,,,2013-09-24T17:30:00Z,,FALSE,TRUE,,,,35.4393,-120.8358,FALSE,Creek Fire,100,,TRUE,2013-09-24T03:20:00Z,Finalized,,,,,
92,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Butte,4,4,,4,2013-08-04T14:45:00Z,,FALSE,TRUE,,,2,39.6612,-121.50354,TRUE,Branch Fire,100,80,TRUE,2013-08-01T16:01:00Z,Finalized,,,,,3
91,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,2,2013,TRUE,Madera,20,6,2,24,2013-05-20T19:10:00Z,,FALSE,TRUE,,2,,37.1927,-119.7917,TRUE,Lilly 2 Fire,100,,TRUE,2013-05-19T15:07:00Z,Finalized,,1,,,2
90,FALSE,CAL FIRE/Riverside County Fire ,,2013,TRUE,Riverside,33,,,,2013-05-21T19:30:00Z,,FALSE,TRUE,,,,33.9582,-116.6534,FALSE,Water Fire,100,,TRUE,2013-05-21T14:16:00Z,Finalized,,,,,
85,FALSE,CAL FIRE San Luis Obispo,,2013,TRUE,San Luis Obispo,40,,,,2013-07-07T22:00:00Z,,FALSE,TRUE,,,,35.62743,-120.83417,FALSE,Adelaida Fire,100,,TRUE,2013-07-07T13:16:00Z,Finalized,,,,,
82,FALSE,CAL FIRE Mendocino Unit,,2013,TRUE,Mendocino,23,,,,2013-11-22T17:30:00Z,,FALSE,TRUE,,,,39.0442,-123.1478,FALSE,Retek Fire,100,,TRUE,2013-11-22T10:06:00Z,Finalized,,,,,
80,FALSE,CAL FIRE Butte Unit,,2013,TRUE,Butte,4,2,,10,2013-09-01T18:00:00Z,,FALSE,TRUE,,,1,39.731878,-121.713938,TRUE,Centerville Fire,100,35,TRUE,2013-08-31T17:23:00Z,Finalized,,,,,
80,FALSE,CAL FIRE / Fresno County Fire,,2013,TRUE,Fresno,10,,,,2013-04-09T15:30:00Z,,FALSE,TRUE,,,,0,0,FALSE,Butte Fire,100,,TRUE,2013-04-09T12:35:00Z,Finalized,,,,,
75,FALSE,CAL FIRE Tehama-Glenn Unit,,2013,TRUE,Tehama,52,,,,2013-09-15T19:00:00Z,,FALSE,TRUE,,,,0,0,FALSE,Tehama Fire,100,,TRUE,2013-09-15T17:39:00Z,Finalized,,,,,
75,FALSE,San Bernardino County Fire,,2013,TRUE,San Bernardino,36,,,,2013-07-26T18:15:00Z,,FALSE,TRUE,,,,34.316,-117.352,FALSE,Silverwood Fire,100,,TRUE,2013-07-25T15:09:00Z,Finalized,,,,,
