STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
FALLS CREEK,2022-05-01,ACTUAL,14.7,0,37,251,8,0,,88.5,24,51,5.3,24,9,3
FALLS CREEK,2022-05-02,ACTUAL,13.9,1.5,43,245,8,0,,88.6,26,56,5.2,26,9,3
FALLS CREEK,2022-05-03,ACTUAL,18.2,1.1,32,245,9,0,,90,29,61,6.8,29,13,3
FALLS CREEK,2022-05-04,ACTUAL,12.2,6.7,69,209,6,2.8,,64.3,24,64,0.7,25,1,2
FALLS CREEK,2022-05-05,ACTUAL,7.5,7,97,226,4,4.6,,28.1,16,62,0,19,0,1
FALLS CREEK,2022-05-06,ACTUAL,13.2,-1.3,37,252,12,10.4,,48.9,10,50,0.3,13,0,1
FALLS CREEK,2022-05-07,ACTUAL,10,5,71,222,11,6.8,,39.7,6,44,0.1,9,0,1
FALLS CREEK,2022-05-08,ACTUAL,10.3,-2.8,40,216,8,2,,58.5,7,49,0.6,10,0,1
FALLS CREEK,2022-05-09,ACTUAL,9.1,1.3,58,180,7,0.4,,71.8,8,53,1,11,1,1
FALLS CREEK,2022-05-10,ACTUAL,10.4,-0.5,47,171,6,0.4,,80.2,9,57,1.5,13,1,2
FALLS CREEK,2022-05-11,ACTUAL,12.7,0,42,263,10,0.4,,85.2,11,62,3.5,16,5,2
FALLS CREEK,2022-05-12,ACTUAL,13.4,-4,30,226,12,0,,88.7,14,66,6.5,18,10,2
FALLS CREEK,2022-05-13,ACTUAL,8.1,-0.6,54,148,12,7.8,,52,8,58,0.4,12,0,1
FALLS CREEK,2022-05-14,ACTUAL,10.3,-1.8,43,241,7,0,,71.7,10,63,0.9,14,1,1
FALLS CREEK,2022-05-15,ACTUAL,10.1,4.5,68,266,6,0,,77.1,11,67,1.2,16,1,1
FALLS CREEK,2022-05-16,ACTUAL,12.7,8.4,75,300,9,8.6,,42.9,6,58,0.1,10,0,1
FALLS CREEK,2022-05-17,ACTUAL,12.2,-0.8,41,221,9,9.6,,47.6,5,48,0.2,8,0,1
FALLS CREEK,2022-05-18,ACTUAL,6.7,4.2,84,117,12,7.6,,29.3,2,40,0,4,0,1
FALLS CREEK,2022-05-19,ACTUAL,9.8,-1,47,133,8,4.4,,45.1,2,39,0.1,4,0,1
FALLS CREEK,2022-05-20,ACTUAL,10.6,2.2,56,302,6,0.2,,64.9,4,44,0.7,6,0,1
FALLS CREEK,2022-05-21,ACTUAL,12.4,-0.2,42,227,7,0.2,,78.9,6,48,1.4,9,1,1
FALLS CREEK,2022-05-22,ACTUAL,16.9,0.4,33,260,7,0,,86.9,9,54,3.9,13,5,2
FALLS CREEK,2022-05-23,ACTUAL,16.6,-0.7,31,218,6,0,,89.4,12,59,5.3,16,7,2
FALLS CREEK,2022-05-24,ACTUAL,14.8,4.8,51,237,9,0.6,,86.9,14,64,4.3,18,7,2
FALLS CREEK,2022-05-25,ACTUAL,12.3,8.2,76,246,4,1.4,,73.3,15,69,0.9,19,1,1
FALLS CREEK,2022-05-26,ACTUAL,18.3,5.4,43,247,10,0.4,,84.4,18,74,3.1,22,5,2
FALLS CREEK,2022-05-27,ACTUAL,12.2,9.4,83,217,11,10.4,,38.5,9,62,0,14,0,1
FALLS CREEK,2022-05-28,ACTUAL,15.9,-2.7,28,246,8,2,,66.6,11,67,0.8,15,1,1
FALLS CREEK,2022-05-29,ACTUAL,18,1.8,34,279,11,0,,84.1,14,73,3.2,19,5,2
FALLS CREEK,2022-05-30,ACTUAL,16.1,4.8,47,218,5,0.4,,86.2,17,78,3.1,22,5,2
FALLS CREEK,2022-05-31,ACTUAL,19.2,4.8,39,229,9,0,,88.5,20,84,5.4,25,10,3
FALLS CREEK,2022-06-01,ACTUAL,18,4.8,42,284,11,0,,88.6,23,91,6,28,11,3
FALLS CREEK,2022-06-02,ACTUAL,14.8,5.6,54,359,4,0,,87.8,25,97,3.8,30,8,2
FALLS CREEK,2022-06-03,ACTUAL,11.6,10.2,91,275,4,1.4,,70,25,102,0.8,31,1,2
FALLS CREEK,2022-06-04,ACTUAL,13.1,11.1,88,273,5,1.4,,61.6,25,108,0.6,32,1,2
FALLS CREEK,2022-06-05,ACTUAL,13.3,10.7,84,161,6,6,,36.5,16,104,0,23,0,2
FALLS CREEK,2022-06-06,ACTUAL,17,9.3,60,297,9,6,,48.4,11,101,0.2,17,0,1
FALLS CREEK,2022-06-07,ACTUAL,19.6,4.4,37,270,8,0,,77.9,14,108,1.4,21,2,2
FALLS CREEK,2022-06-08,ACTUAL,12.9,10.9,88,322,9,3.8,,47,10,109,0.2,16,0,1
FALLS CREEK,2022-06-09,ACTUAL,16.6,9.8,64,121,10,1.6,,62.9,11,116,0.8,18,1,1
FALLS CREEK,2022-06-10,ACTUAL,15.5,10.5,72,284,7,25.8,,36.2,6,72,0,9,0,1
FALLS CREEK,2022-06-11,ACTUAL,16.4,13,80,243,9,7,,34.8,3,68,0,6,0,1
FALLS CREEK,2022-06-12,ACTUAL,19.8,6.5,42,284,10,0.6,,71.8,7,75,1.1,11,1,1
FALLS CREEK,2022-06-13,ACTUAL,10.9,9,88,135,7,7.6,,32.2,3,68,0,6,0,1
FALLS CREEK,2022-06-14,ACTUAL,11.1,4.8,65,105,11,13.2,,35.5,2,52,0,4,0,1
FALLS CREEK,2022-06-15,ACTUAL,17,8.7,58,270,8,0,,64.4,4,58,0.8,7,0,1
FALLS CREEK,2022-06-16,ACTUAL,12.4,10.5,88,285,7,0.8,,65.4,5,64,0.8,8,0,1
FALLS CREEK,2022-06-17,ACTUAL,12.8,7.9,72,280,7,6,,44.9,3,61,0.1,5,0,1
FALLS CREEK,2022-06-18,ACTUAL,15.4,9.2,66,320,4,2.4,,52.6,3,67,0.3,6,0,1
FALLS CREEK,2022-06-19,ACTUAL,15.8,9.1,64,294,12,2.4,,61.6,3,74,0.8,6,0,1
FALLS CREEK,2022-06-20,ACTUAL,19.6,11.2,58,215,8,0,,77.9,6,81,1.4,10,1,1
FALLS CREEK,2022-06-21,ACTUAL,20,9.3,50,257,8,0,,84.9,9,88,3.2,14,4,2
FALLS CREEK,2022-06-22,ACTUAL,19.6,13.6,68,54,5,7.8,,52.4,6,82,0.3,10,0,1
FALLS CREEK,2022-06-23,ACTUAL,13.7,0.2,40,241,9,0.2,,75.1,8,88,1.2,13,1,1
