STATION,DATE,TYPE,TEMP,DEW PNT,RH,W.DIR,W.SPEED,PRECIP,GC,FFMC,DMC,DC,ISI,BUI,FWI,DGR
FALLS CREEK,2021-05-01,ACTUAL,13.5,2.7,48,279,12,0.8,,63.7,20,64,0.9,22,1,2
FALLS CREEK,2021-05-02,ACTUAL,14.1,-3.3,30,283,12,0.6,,81.8,22,68,2.5,25,5,2
FALLS CREEK,2021-05-03,ACTUAL,10.5,-2,42,211,6,0,,85.2,24,73,3,26,6,2
FALLS CREEK,2021-05-04,ACTUAL,10.8,4.3,64,131,6,0.6,,83.2,25,77,2.2,28,4,2
FALLS CREEK,2021-05-05,ACTUAL,16.5,-3.7,25,289,10,0,,89.6,29,82,6.5,31,13,3
FALLS CREEK,2021-05-06,ACTUAL,14.6,1.7,42,250,7,0,,89.5,31,88,5.6,33,12,3
FALLS CREEK,2021-05-07,ACTUAL,10.1,0.1,50,143,11,9.2,,53,17,76,0.4,22,0,2
FALLS CREEK,2021-05-08,ACTUAL,13.1,-4.2,30,257,8,0.8,,75,20,81,1.1,24,2,2
FALLS CREEK,2021-05-09,ACTUAL,14.5,-0.5,36,276,11,0,,85,22,86,3.6,27,7,2
FALLS CREEK,2021-05-10,ACTUAL,15.7,0.5,36,229,7,0,,88,25,91,4.5,30,9,3
FALLS CREEK,2021-05-11,ACTUAL,15.1,0,36,267,11,1.6,,81.8,27,97,2.5,32,5,2
FALLS CREEK,2021-05-12,ACTUAL,12.9,2.4,49,241,6,0,,84.7,29,101,2.7,34,6,2
FALLS CREEK,2021-05-13,ACTUAL,13.7,8.8,72,226,6,3.6,,57.6,22,102,0.5,28,1,2
FALLS CREEK,2021-05-14,ACTUAL,19.1,4,37,270,10,0,,81.1,25,108,2.1,32,5,2
FALLS CREEK,2021-05-15,ACTUAL,20.9,3.5,32,273,9,0,,88.9,29,114,5.9,35,12,3
FALLS CREEK,2021-05-16,ACTUAL,22.9,2.3,26,252,8,0,,91.9,34,120,8.5,40,18,3
FALLS CREEK,2021-05-17,ACTUAL,23.3,6,33,316,6,0,,91.9,38,127,7.5,44,17,3
